id,text,user,user_followers,favorite_count,retweet_count,location,datetime
1573119217083244544,   seguro debe ser por las olas de calor y cambio climatico  espera  ya no hay calor         ,sebastiang82,741,0,0,"Lima, Peru",2022-09-23 01:17:03
1573114936041119745,durante la  cop26     y     junto a otros paises  se comprometieron a hacer frente al cambio climatico     esta sem   ,UKinPeru,23801,8,0,"Lima, Peru",2022-09-23 01:00:02
1573060204945723393,el cambio climatico  traducido en el derretimiento de glaciares  formo unas 3000 nuevas lagunas en el pais  500 de   ,StakeholdersRS,4974,0,0,"Lima, Perú",2022-09-22 21:22:33
1573058746183565321,el sistema de afloramiento de la corriente de humboldt brinda al  marperuano una gran productividad biologica   a q   ,Oceana_Peru,19579,4,3,"Lima, Peru",2022-09-22 21:16:45
1573054532816293888,    las  turberas peruanas almacenan inmensas cantidades de carbono y proveen servicios ecosistemicos clave como la   ,CIFOR_bosques,7321,9,9,"Lima, Peru",2022-09-22 21:00:01
1573026670725963777,  segun el ministerio del ambiente  minam   alrededor de 500 nuevas lagunas de origen glaciar representan un posibl   ,RPPNoticias,2596297,2,1,"Lima, Peru",2022-09-22 19:09:18
1573024427377364993,  es la mejor prueba de que el cambio climatico es cierto   ,enriqueorbegoz2,294,1,0,"Lima, Peru",2022-09-22 19:00:23
1572996733122084865,seguimos promoviendo inversiones sostenibles en la amazonia del peru y apoyando modelos de negocio que apuesten por   ,cienperu,2091,4,0,"Lima, Peru",2022-09-22 17:10:20
1572995450600292356,  espanol los incendios han sido provocados  o es por el cambio climatico generado por la contaminacion ambiental   ,ClaudioDelgadoM,428,0,0,Lima - Perú,2022-09-22 17:05:14
1572976511233269767,  cierto  como se atreve a hablar de cambio climatico y meterse con empresas contaminantes como la petro   ,Jorgebazanc,43,3,0,"Lima, Peru",2022-09-22 15:49:59
1572976092792901633, avanzamos en la implementacion de las acciones sectoriales para atender la  emergenciaclimatica  hoy participamos   ,MinamPeru,426202,8,1,"Lima, Perú",2022-09-22 15:48:19
1572955388437299200,el presidente del salvador bukele fue contundente contra la onu      respeten nuestra libertad somos un pais indepe   ,Jali_Cotrina,20107,100,50,"San isidro, Peru",2022-09-22 14:26:03
1572954136047501313,    a este asno le diran come insectos para luchar contra el cambio climatico y abrira   ,enriqueadriaGV,184,1,0,Lima - Perú,2022-09-22 14:21:04
1572930540675952640,  paula  cuidado con a quien replicas  es un trump  niega el cambio climatico      o tienes intereses p   ,luisalozano,640,0,0,"Lima, Peru",2022-09-22 12:47:19
1572923943043964929,bueno  bueno  llego la primavera  la estacion en la que probablemente todos sean felices  ni mucho calor  ni mucho   ,SinCafeNo,5191,5,0,"Lima, Peru",2022-09-22 12:21:06
1572916328247197696,  no existe el cambio climatico  tremendo verso progresista  somos hormigas insignificantes en el planeta,internetinfinit,50,0,0,"San Isidro, Lima",2022-09-22 11:50:50
1572825634250051589,el secretario general de la onu  antonio guterres  ha instado este miercoles a la comunidad internacional a mantene   ,Publimetrope,238361,0,1,Lima,2022-09-22 05:50:27
1572793325882597376,   este jueves 22 de setiembre en enlace regional entrevistaremos a la dra  josefina takahashi  hora  09 15 a m      ,rcrperu,1106,0,0,"Lima, Perú",2022-09-22 03:42:04
1572771741671493632,todos hablan del cambio climatico  mejor expresado como calentamiento global  pocos hablan de la perdida de biodive   ,gorjeda,26441,33,19,Lima,2022-09-22 02:16:18
1572756172410851328,esta iniciativa seria un espacio de dialogo y cooperacion para peru en areas como inversion  innovacion  cambio cli   ,MEF_Peru,521432,6,2,"Lima, Perú",2022-09-22 01:14:26
1572750825369247744,solicitan renuncia del presidente del banco mundial por sus reservas sobre el cambio climatico  ,Gestionpe,1553506,2,1,Lima,2022-09-22 00:53:11
1572718917784686592,detectan alto indice de carbono en el nevado huaytapallana y eso acelera su desglaciacion  gerente dijo que  quema   ,georginareport,1780,1,1,Región Lima,2022-09-21 22:46:24
1572717398892888066,derretimiento de glaciares ocasiono formacion de 3 000 nuevas lagunas  debido al cambio climatico    ,Agencia_Andina,744223,5,5,Lima,2022-09-21 22:40:22
1572692730324877313,recuerda que tienes hasta el 15 de octubre para enviar tu obra para el segundo numero de la revista ecoliteraria  a   ,buhoelectricope,137,2,1,"Lima, Perú",2022-09-21 21:02:20
1572691527352164353,entrevistamos a   de   peru y conversamos sobre repsol  el ecosistema maritimo  la pesca y el   ,RecurseoS,38,7,3,"Lima, Peru",2022-09-21 20:57:33
1572661948814184448,el    ha perdido el 50  de sus glaciares  lo que trae retos para la provision de agua y el equilibrio ecologico   e   ,UKinPeru,23801,16,4,"Lima, Peru",2022-09-21 19:00:01
1572654263456894981,  para el peru  que alberga el 70   de los glaciares tropicales del mundo  es una gran responsabilidad gestionar de   ,MinamPeru,426202,1,0,"Lima, Perú",2022-09-21 18:29:29
1572654255504523264,  la viceministra   participo en la clausura del evento internacional  lagunas de origen glaciar en el p   ,MinamPeru,426202,8,1,"Lima, Perú",2022-09-21 18:29:27
1572646667358281729,fundador de greenpeace dice que el cambio climatico se basa en falsas na      a traves de  ,astorga_rodrigo,1043,0,0,Lima - Perú,2022-09-21 17:59:18
1572635437793005568,    es   por la paz  no me jodan si este es un terruco    por la seguridad aliment   ,APalominoLujan,69,0,0,Pueblo Libre Lima,2022-09-21 17:14:41
1572635400140902400,  video       escazu es un instrumento para afirmar nuestra soberania sobre los recursos naturales     ,actualidadspda,36673,11,2,Lima,2022-09-21 17:14:32
1572634848002723842,  culpa del cambio climatico jajaja,JoseAlfonzo24,414,1,0,"Lima, Peru",2022-09-21 17:12:20
1572634543110365185,creen que somos idiotas  las muertes prematuras del 2021 y 2022 no son por el cambio climatico  son por las terapia   ,Artemisa444,57,1,0,"Lima, PERU",2022-09-21 17:11:07
1572608709054046209,  la viceministra resalto la alianza estrategica con la   para sociabilizar la estrategia nacional de cam   ,MinamPeru,426202,1,1,"Lima, Perú",2022-09-21 15:28:28
1572606981919363072,fortalecer la salud  alimentar el mundo  alimentarlo  369 mil millones de dolares parta controlar el cambio climati   ,panoramicaleu,164,0,0,"Lima, Perú / Milán, Italia",2022-09-21 15:21:36
1572606261572804618,el mundo necesitara invertir alrededor de   1 billon al an o en energia renovable y hasta   130 mil millones en hidr   ,lifeguide,60,0,0,Lima,2022-09-21 15:18:45
1572602888899133441,  el ministro   rozas y la viceministra   se reunieron con la presidenta de la    rosal   ,MinamPeru,426202,8,2,"Lima, Perú",2022-09-21 15:05:20
1572586453720350722,arranco la  semanaverde       el cambio climatico nos afecta a todos y todas  esta semana  compartiremos como el      ,UKinPeru,23801,37,4,"Lima, Peru",2022-09-21 14:00:02
1572586287789674497,  estamos transmitiendo  envivo la ponencia  cambio climatico   como parte del conversatorio  mejoramiento y amplia   ,ConcytecPeru,76468,3,1,"Lima, Perú",2022-09-21 13:59:22
1572581393326309376,cambio climatico     ,chirricle,1156,0,0,"Lima, Peru",2022-09-21 13:39:55
1572571356155285504,  hoy  conversatorio  mejoramiento y ampliacion de los servicios del sinacyt      cambio climatico   8 30 a m     e   ,ProcienciaPeru,18561,1,0,"Lima, Perú",2022-09-21 13:00:02
1572545289957052417,antonio guterres  el cambio climatico parece haber dejado de ser una prioridad para muchos tomadores de decisiones   ,dayamistve,972,2,1,Lima - Perú,2022-09-21 11:16:28
1572538997657968641,    gustavo petro  fin a la  irracional  guerra contra las drogas     discurso en las naciones unidas  el mandatari   ,larepublica_pe,2811421,19,4,"Lima, Perú",2022-09-21 10:51:28
1572459452326084609,  me parece inverosimil que estando en pleno siglo xxi aun dependamos del oleaje   no hay almacenes de glp   ,Cecilia06281500,88,0,0,Lima ,2022-09-21 05:35:22
1572445138869264384,la defensa de la biodiversidad y la lucha contra el cambio climatico son puntos centrales de la agenda de gobierno   ,rupertomacha,132,0,0,Lima,2022-09-21 04:38:30
1572423057964163075,secretario general de naciones unidas advierte gran peligro para el mundo   antonio guterres alerto graves consecue   ,POLITICATOTALpe,6279,7,6,"Lima, Peru",2022-09-21 03:10:45
1572401456870727680, algun dia alguien pagara por el  negociazo  que han montado entre empresas  cientificos  ecologistas y politicos c   ,AlbertoNeiraL,537,12,2,"Lima, Perú ",2022-09-21 01:44:55
1572391714559590408,  juarez  como congresista da que hacer que sus fuentes sean derechadiario y no busque el discurso completo de   ,Fandomatic12,20,3,0,"Lima, Peru",2022-09-21 01:06:13
1572387473728360450,   ahora   erick garcia  experto en energia e hidrocarburos   los oleajes anomalos se relacionan con el cambio clim   ,exitosape,801936,1,0,"Lima, Peru",2022-09-21 00:49:21
1572359959840542721,  los seres humanos y todas las formas de vida necesitan agua  por lo tanto  el indice es de vital importancia en l   ,CIFOR_bosques,7321,0,0,"Lima, Peru",2022-09-20 23:00:02
1572354074347208704,  el cambio climatico amenaza el futuro mismo de la humanidad  dijo el secretario general de la onu  antonio guterr   ,Agencia_Andina,744223,3,0,Lima,2022-09-20 22:36:38
1572353923255799808,se desarrollara estudios que evaluen la calidad del cultivo del cacao con enfoque en niveles de cadmio  sistemas de   ,agroperu_info,382,2,2,"Lima, Perú",2022-09-20 22:36:02
1572336007021740032,tremendo discurso el de petro en la onu  inculpando a los paises desarrollados por el cambio climatico  la deforest   ,juanarroyoperu,5831,0,1,"Lima, Perú",2022-09-20 21:24:51
1572331635886129152,   envivo  presidente pedro castillo   este an o  el cambio climatico ha hecho que el calor extremo y las inundacion   ,RPPNoticias,2596297,19,0,"Lima, Peru",2022-09-20 21:07:29
1572329273960038555,petro acaba de declarar que el carbon es mas dan ino que la cocaina  los dan os del cambio climatico son innegables y   ,danipolitics,10497,26,7,"Lima, Peru",2022-09-20 20:58:06
1572301912766296064,las drogas el narcotrafico y la mineria ilegal que alienta la trata de blancas en la amazonia peruana son elementos   ,EliAbensur,304,0,0,"Lima, Peru",2022-09-20 19:09:22
1572293509079793670, se compran colmillos de tigre   el trafico de animales y el cambio climatico toman la gran pantalla   ,rodrigorevillac,370,0,0,"Lima, Peru",2022-09-20 18:35:59
1572258884433350656, senamhi director de meteorologia y evaluacion ambiental atmosferica  dr  christian yarleque  compartio las conclus   ,Senamhiperu,171211,8,0,"Lima, Perú",2022-09-20 16:18:23
1572255719734255621,si antes teniamos un principe pro medioambiente y ahora tenemos a un rey carlos iii que no puede emitir opinion sob   ,richicubag,850,0,0,"Lima, Perú",2022-09-20 16:05:49
1572243846179991552,que sana envidia la que le tengo a mis hermanos colombianos por el discurso esplendido que esta dando     ,jorgeab1967,1536,1,0,Lima,2022-09-20 15:18:38
1572243076130783233,  con todo en la asamblea general de las naciones unidas  claro y directo  diciendo verdades afiladas    ,AdrianSarriaM,1271,5,3,"Lima, Peru",2022-09-20 15:15:34
1572239585492762626,  cambia tus acciones  no el clima  tu eres el protagonista en la actualizacion de la estrategia nacional ante el c   ,MinamPeru,426202,6,1,"Lima, Perú",2022-09-20 15:01:42
1572238248809725952,    ahhh ahora entiendo  keiko tiene la culpa del cambio climatico  q mala es ,Giberita,3528,3,0,"Lima, Peru",2022-09-20 14:56:23
1572232773590450181,educadores de latinoamercia  america  africa  amp  eurasia aprenden estrategias sobre el cambio climatico en escuelas d   ,IsraelinPeru,9977,3,2,"San Isidro, Peru",2022-09-20 14:34:38
1572125905090215936,la teledeteccion dara la informacion global para afrontar el cambio climatico  ,Gestionpe,1553506,2,1,Lima,2022-09-20 07:29:59
1572078991821144064,dia 19  null  30daymapchallengelatam  mapa de planes locales de cambio climatico a nivel provincia   peru  casi nul   ,jvquispev,19,0,0,"Lima, Peru",2022-09-20 04:23:34
1572028925597077504,sin medidas mas ambiciosas  las consecuencias del cambio climatico  seran devastadoras      antonio guterres insta   ,ONUPeru,30738,8,4,"Lima, Perú",2022-09-20 01:04:37
1572009063335993344,que loco como pasamos del  calentamiento global  a  cambio climatico  que suena mas chill   no ,eljoraka,4056,5,0,Lima,2022-09-19 23:45:41
1571992823964250113,a donde vamos con el cambio climatico que aun no parece tomarse en serio mucha gente   cambios ecosistemicos en la   ,RobertoGPoza,106,0,0,"Lima,  Perú",2022-09-19 22:41:10
1571982505632210944,los 7 paises y ciudades en peligro de desaparecer por el cambio climatico  segun la onu  ,Gestionpe,1553506,17,3,Lima,2022-09-19 22:00:10
1571982468864958464,el pasado 13 de setiembre yvon chuoinard  fundador de la marca de ropa patagonia  dono la compan ia a un fondo de or   ,larepublica_pe,2811421,4,0,"Lima, Perú",2022-09-19 22:00:01
1571977734766616576,   ahora vendra el cambio climatico   ,BeateverRosa,150,0,0,Lima - Perù,2022-09-19 21:41:12
1571974112557277189,el secretaio general de la onu  antonio guterres  esta exigiendo al g20 recortes drasticos de emisiones y mas diner   ,dayamistve,972,1,1,Lima - Perú,2022-09-19 21:26:48
1571957748710916097, toma nota    participa en el seminario taller  gestion del riesgo de desastres y adaptacion al cambio climatico pa   ,viviendaperu,177499,4,2,"Lima, Perú",2022-09-19 20:21:47
1571953311795879936,el proyecto apoyo a la plataforma nacional de ciudades sostenibles y cambio climatico es liderado por el minam  en   ,MinamPeru,426202,25,5,"Lima, Perú",2022-09-19 20:04:09
1571937417950552064,    freddy  el cambio climatico es un hecho  pero tengo una pregunta     todo lo que nos quieren   ,JuanC_Becerra,77,0,0,"Lima, Peru",2022-09-19 19:01:00
1571907605802491905,     ciudadessostenibles   lappeenranta   finlandia  tiene un gran compromiso en tomar acciones ecologicas para mit   ,EmbFinLima,864,2,0,"Lima, Perú",2022-09-19 17:02:32
1571856152849260544,duen o de marca de ropa patagonia dona su empresa valorizada en us  3 000 millones a una ong para proteger la biodiv   ,NataliaMansoA,225,2,0,"Lima, Peru",2022-09-19 13:38:05
1571837644513972226,  hola  desde lima  estos dias x aqui han sido muy frios  podrian tocar de nuevo sobre la tematica del   ,mvrivcristinv,116,1,0,Lima - Peru,2022-09-19 12:24:32
