entity,code,year,20_24_years_old,10_14_years_old,all_ages,70_years_old,30_34_years_old,15_19_years_old,25_29_years_old,50_69_years_old,age_standardized,15_49_years_old
India,IND,2017,3.3514332135,0.870146339059,3.37395302969,7.79300728575999,3.86435984153,2.36091946328,3.57624741267999,6.63357239355,3.52985259667999,3.80346579842
Indonesia,IDN,2017,2.3176865259,0.894634495331,2.65361201950999,5.43160508398,2.68454602762999,2.00666292312,2.46079132105,5.11966852313,2.64273567514,2.8168964275
Iran,IRN,2017,5.98760263209,1.8346362745,5.50969018331,5.87113547282,7.11150093161,4.47429827692,6.57931127303,7.26461527351,5.11634462915,6.80671959981
Iraq,IRQ,2017,4.21292934689,1.42662464353,3.39207233683,4.74909370301,5.21027597481,3.17853946147999,4.7032491872,5.87589605174,3.89116288663,4.81986148551
Ireland,IRL,2017,5.51367798798999,2.00873323099,4.57070176879,4.79258869059,5.58172880494,4.15275848753,5.52218100333,5.3401225849,4.25092099742,5.48107141905
Israel,ISR,2017,4.5343506942,1.97596501454,3.89991044429,5.20881312178,4.87042325857,3.72049041689,4.70207731176,5.10369690243999,3.8322207094,4.7491809114
Italy,ITA,2017,3.96164429929,1.90272910707999,4.10667620844,4.79841534245,4.29100906323,3.41054802966,4.12240304147,4.63903372628,3.46425611654999,4.33481488194
Jamaica,JAM,2017,2.70366590373,1.24139258513,2.75382513152,4.29514567412,2.93315300783,2.51500168612,2.8031834583,4.23819787701,2.59238455271,2.97180844706
Japan,JPN,2017,5.24743066381999,1.13940200599999,3.7622690861,3.83042446858,4.54556886019999,3.45148581975,4.86978707406,3.91867823022,3.34156463103,4.4281665911
Jordan,JOR,2017,3.76904425533,1.69317587627999,3.31180769777,4.92325485552,4.55416833363,3.28092020119,4.17502087103,5.33033909871,3.56360229131,4.32024555135999
Kazakhstan,KAZ,2017,4.11447113941,1.18914364404999,3.54727483525,7.44572381740999,3.93946301353999,3.06746216904,4.02794214687,5.6315973072,3.51177487949,3.97671704267
Kenya,KEN,2017,3.33321293804,1.27222524617999,2.69922886027,7.97282590654,3.70472127142999,2.83912588964,3.51619459821,6.30063520445,3.50841859712,3.60628116555
Kiribati,KIR,2017,3.34213950595999,1.06028059448,2.68112428741,6.30161723668,3.33839893855,2.64220933989,3.26516533075,5.86503804744,3.17275363249,3.43786055098999
Kuwait,KWT,2017,3.91944918393,1.78915572003,4.02840351039999,4.56861230139,4.73315095987,3.42520987117,4.38044473975,5.18125551118,3.63567862084,4.68263808086
Kyrgyzstan,KGZ,2017,3.25861576651999,1.10307952861,2.78662908991,6.84773847121,3.34018080589,2.59366653661,3.31018971439,5.12413118785,3.05367302757,3.31718077599
Laos,LAO,2017,2.87650402258,1.01037226435,2.58006243941,5.66832002535,2.94214587357,2.38123074718,2.83373369931999,5.4884798334,2.91243136627,3.07138786606
Latin America and Caribbean,,2017,3.16473308257,1.39334480464999,3.03427789554,4.98347906681,3.33662244697,2.64821472355999,3.24677419371,4.81343499101,2.94638421448,3.35355016563999
Latvia,LVA,2017,3.04333744395,1.11279524347,4.63453229171,7.79388812283,3.8208884533,2.4059883102,3.4926437153,6.27345983456,3.4995706624,3.81563032547
Lebanon,LBN,2017,3.84377388321,1.61237968594,3.55506929127999,4.80760019437,4.74862011324,3.23599278361,4.35263550842,5.49467816579,3.67673423071,4.50893237903
Lesotho,LSO,2017,5.93611322879,2.12109803399,4.98050395822,11.2995404392,6.21087307444,4.94888920404,5.93176643339,9.30010033948,5.6366607037,6.27936683399999
Liberia,LBR,2017,3.57401274357999,1.26783435891999,2.85945074858,8.08772479620999,4.35132703184999,2.88829629075,3.94212577252,6.78052214406,3.80303819069999,4.0937582043
Libya,LBY,2017,4.07401213757,1.72152938174,3.84340766416,4.97202520821,4.94562064038,3.42816228427,4.53916628438,5.64309002367,3.80479105155999,4.7877790189
Lithuania,LTU,2017,3.96376746917999,1.21181923973,5.39673230208,8.60757759908,4.56232205338,2.94069148557,4.29041065328,7.27140736941999,4.14325442072,4.58956297054
Low SDI,,2017,3.54472726275,1.21712107461999,2.90741485093,7.42379141853,4.04953824738,2.82257802928,3.77737772805,6.44483439031,3.61699922965,3.90763021663
Low-middle SDI,,2017,3.44710855792,1.19540968378,3.26785079181,7.35671839837999,4.05607291329,2.69738660687,3.7336671011,6.54276838022,3.63161033398,3.94353835754
Luxembourg,LUX,2017,4.07693908466999,1.67765617655,4.16793155343,4.96875479387,4.60886918943,3.24239435924999,4.339102814,4.94335681298999,3.61771867848999,4.532774117
Macedonia,MKD,2017,2.40650059686,0.898296548706999,2.85018519354999,5.18026800666,2.50283537973,1.96315750441,2.47020037251,4.00085483987,2.33238575269,2.56007018126
Madagascar,MDG,2017,3.43924341061,1.55489417645,2.70671835566,8.24015798399,3.84975288011999,3.25434224094,3.61387300673,6.69447089752,3.70851421895,3.8425417225
Malawi,MWI,2017,3.17634625699,1.40310407264,2.52637742379,7.60632027456,3.59234252211999,2.92935796957,3.37502511121,6.30872676697,3.4461370206,3.51913197226
Malaysia,MYS,2017,3.04334839215,2.17834190505,3.52147820865999,6.55157959202,3.25850182932,4.028795772,3.05206044458,6.15921876971,3.5208539166,3.63634926876
Maldives,MDV,2017,2.85204063126,1.17646399735,3.01910990762,6.25041057962,3.01073439166,2.57789812316999,2.8510468422,5.83363022600999,3.09996968641,3.20110521009
Mali,MLI,2017,2.78565235199,0.987737722195,2.04499083575,6.37385160797,3.4508199406,2.20915676118,3.13223249265999,5.44671554614,3.00742001915,3.12201992396
Malta,MLT,2017,3.90651823422,1.82348016566,3.90475111146,4.50201353751,4.24971289097,3.35505445871999,4.10979335207,4.43811666397,3.37413733179,4.20087274885
Marshall Islands,MHL,2017,3.24659384244,1.06203289029,2.73151938692,6.07149197228,3.24082554089999,2.58097735231999,3.18011845419,5.75222028687,3.10434739605,3.37166915751
Mauritania,MRT,2017,2.79822926939999,1.07113669324,2.3575701386,6.63509337612999,3.4140128163,2.31589598816,3.10282651006,5.60340119886999,3.0941606819,3.20787063952
Mauritius,MUS,2017,3.57511847557,1.57625373162,4.08107964695,6.30030072513,3.53428399859,3.38766892872999,3.45149864012999,6.13590351868,3.47852434082,3.87546757323
Mexico,MEX,2017,3.10921423144999,0.957684378296999,2.80006415435,4.73457469154,3.25817141435999,2.34685609773,3.1892963772,4.53282968384,2.7888065701,3.21957317726
Micronesia (country),FSM,2017,3.30271946446,1.05340683177,2.86680473888,6.17832721403999,3.25710648316,2.60576408018,3.21154231862,5.79964583816,3.1346193916,3.38349547148
Middle SDI,,2017,2.85566728328,1.01112107314,3.44147011946,6.79185650195,3.24633984195,2.2867406414,3.01523057492,6.08163718645,3.17782681918,3.36938467332
Moldova,MDA,2017,3.06252141517,1.14340000994,4.24353960922,7.45217774882,3.64151535494,2.47415539075,3.37864551164,6.35966073819,3.43254927896,3.70446689821999
Mongolia,MNG,2017,4.09168303036,1.21045233866,3.38500213411,6.81288840231,4.0106836621,3.08702160286,4.02755575057,5.60970358742999,3.52548751693999,4.08576719897
Montenegro,MNE,2017,2.71690344767,0.924287689829,3.08440481795,5.41868633725,2.75382636239,2.13966206446,2.72112051191999,4.36838959358,2.55864017628,2.84432594456
Morocco,MAR,2017,5.56983043785,2.39655670561,5.54719200145,7.06172997173,6.87626859574,4.74501398768,6.19953837116,8.37801800355,5.41357318493,6.69417591991999
Mozambique,MOZ,2017,3.63071849728,1.58654706227999,2.73342727905,8.58667950161,4.09098208729,3.35832301491,3.8227833171,7.04140424714,3.90179522627,4.00448329742999
Myanmar,MMR,2017,1.7804279785,0.747197487807,2.28543074445,4.86457410903,2.26845855459,1.55849680235,1.98645268103,4.71943741211,2.30098157089,2.33037268741
Namibia,NAM,2017,3.61499251713,1.22629731623,2.99472084353,6.84395695411999,3.83262404465999,2.89551030021,3.66486473967,5.79211894708,3.45997036719,3.83131733315
Nepal,NPL,2017,3.15623728692,1.10498207273,3.26162023363,7.90096815894,3.91266750219,2.4995489542,3.51258783607,6.70840359682999,3.60693852559,3.73570644825999
Netherlands,NLD,2017,4.60330457691,1.93141524749,4.58925442192,5.12894495327999,5.08739750998,3.67979365588,4.82173015004,5.33733381327,4.02685440344,5.0555059138
New Zealand,NZL,2017,6.28551421732,2.19141351113,4.07316263849999,3.52263708502,5.09473039755,5.23697922893,5.65264564781,4.15646930206,3.97126536914999,5.17147643529
Nicaragua,NIC,2017,3.40664449925999,1.1092023979,2.68590232197,4.62529939721,3.26788690906,2.66119849106,3.31387950496,4.54536223288,2.85408391428,3.30566734109
Niger,NER,2017,3.18672745756,1.17979359587,2.16621866845,7.47449289972,3.85076028379999,2.61671440571,3.51571542072,6.25273896005,3.46305528566,3.5504114557
Nigeria,NGA,2017,3.56509657758,1.40933740668,2.79586863981,8.56534509892999,4.32576516543,3.03610842041,3.95126458390999,7.03001799462,3.91769128668999,4.06852191567
North Africa and Middle East,,2017,4.24195001397999,1.68092608732,3.85657610943,5.28859379177999,5.23221685161,3.47682380292,4.78637393774,5.97285116846,3.965409581,4.95215192068
North America,,2017,6.5760644553,2.64262565933,5.00609926826,3.76089218069,6.11066479651,6.15105517296,6.1827726873,5.22738130879,4.75280156655,6.4400179312
North Korea,PRK,2017,2.34021255354,0.930906537058,3.62826220713999,7.37273777516,2.89977576056,1.94261582808,2.58356678984,6.31263042922999,3.09084604725,3.12434716191
Northern Ireland,,2017,4.84707722481,2.09826310283,4.50678039512,4.96471696680999,5.53927953489,3.89628172061999,5.23872449446,5.20347362173,4.10562095072,5.26779723918
Northern Mariana Islands,MNP,2017,3.27499025091999,1.09221491448,3.61823501272,5.80067423755,3.19885003100999,2.63517573462999,3.1561382595,5.58436189875,3.09705485069,3.43884190065
Norway,NOR,2017,4.68031214368,1.54719688857,4.2005878711,4.50255301779,5.13537674488,3.5063810791,5.00372148204,4.84813888268,3.77191036995,4.87348316389
Oceania,,2017,3.39775704733,1.05531072987,2.64742699664,6.11804295902999,3.36286646888,2.65179300176999,3.31590419381,5.80482865783,3.16426493154,3.47209048453
Oman,OMN,2017,3.69563336831,1.70525812035,3.57175072771,5.03182095109,4.25829006116,3.33120190074,3.90591238584,5.14639045437,3.43395059643,4.23874581626
Pakistan,PAK,2017,2.98511752396,1.06273611286,2.7246921341,6.90752920679,3.73645572775999,2.37366886782999,3.35255991552,6.00830368390999,3.33127964276999,3.51632787736999
Palestine,PSE,2017,4.95967808756,2.39119383362,4.06301386538,6.12529832612,5.92801300846,4.47191791092,5.4328346609,6.81941501261,4.66507369588,5.60333429837
Panama,PAN,2017,2.87197752759,1.03080188936,2.72089687764,4.67298714819,3.10100784009,2.32594868939999,3.01027798162,4.40054553835,2.67902533528,3.05417320986
Papua New Guinea,PNG,2017,3.40538589138,1.05096483415,2.59043419652,6.12331198608,3.38086504788,2.65119766305,3.32920156365,5.81152342586,3.16866077711,3.48052562933999
Paraguay,PRY,2017,3.57502197585,1.43656327287,2.84385402625,4.71462963535,3.31307542681,3.03823354619,3.39793859456,4.63352805551,2.95883967432,3.45661573083
Peru,PER,2017,2.44785878844,0.911846992639,2.23415218654,4.16066812417,2.61651826995,2.00782952772,2.55849706253,3.83218466142,2.2763210016,2.59579094171
Philippines,PHL,2017,2.4210782316,1.08408510715,2.51184689354,5.76828119167,2.69737851479,2.27381070195,2.49640116582,5.34018147473,2.76517600939,2.84103108287
Poland,POL,2017,2.4695184777,0.754115561955,2.79445774913,4.10214343297,2.44797969663,1.84128767331999,2.41806763767,3.81909073376,2.25047189275,2.60347394722
Portugal,PRT,2017,4.79578636502,2.29886640639999,5.31048875301,6.52861043118,5.33052828844,4.12022304913,5.02882856307,6.08813237978999,4.42146054723,5.45555882725
